Call Lightning,Drd 3, Evocation/Fire/Water/Air, Electricity, V S, 1 round, 1 min./level, Medium (100 ft. + 10 ft./level), Reflex half, Yes, Calls down lightning bolts (3d6 persbolt)sfrom sky.
Meld into Stone,Clr 3; Drd 3, Transmutation/Water/Fire/Earth/Spirit, Earth, V S DF, 1 standard action, 10 min./level, Personal, , , You and your gear merge with stone.
Glyph of Warding,Clr 3, Abjuration/Fire/Earth/Void/Air/Spirit, , V S M, 10 minutes, Permanent until discharged (D), Touch, See text, No  (object) and Yes; see text, Inscription harms those who pass it.
Ray of Frost,Sor/Wiz 0, Evocation/Fire/Air, Cold, V S, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels), None, Yes, Ray deals 1d3 cold damage.
Inflict Light Wounds  Mass,Clr 5; Destruction 5, Necromancy/Void/Fire/Water/Spirit, , V S, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels), Will half, Yes, Deals 1d8 damage +1/level to any creatures.
Awaken,Drd 5, Transmutation/Water/Air/Fire/Earth/Spirit, , V S DF XP, 24 hours, Instantaneous, Touch, Will negates, Yes, Animal or tree gains human intellect.
Floating Disk,Sor/Wiz 1, Evocation/Fire/Air/Spirit, Force, V S M, 1 standard action, 1 hour/level, Close (25 ft. + 5 ft./2 levels), None, No, Creates 3-ft.-diameter horizontal disksthatsholds 100 lb./level.
Fireball,Sor/Wiz 3, Evocation/Fire/Earth, Fire, V S M, 1 standard action, Instantaneous, Long (400 ft. + 40 ft./level), Reflex half, Yes, 1d6 damage per level; 20-ft. radius.
Fire Storm,Clr 8; Drd 7; Fire 7, Evocation/Fire/Earth, Fire, V S, 1 round, Instantaneous, Medium (100 ft. + 10 ft./level), Reflex half, Yes, Deals 1d6/level fire damage.
Gust of Wind,Drd 2; Sor/Wiz 2, Evocation/Fire/Air/Spirit, Air, V S, 1 standard action, 1 round, 60 ft., Fortitude negates, Yes, Blows away or knocks down smaller creatures.
Endure Elements,Adp 1; Clr 1; Drd 1; Pal 1; Rgr 1; Sor/Wiz 1; Sun 1, Abjuration/Fire/Earth/Air, , V S, 1 standard action, 24 hours, Touch, Will negates (harmless), Yes (harmless), Exist comfortably in hot or cold environments.
Augury,Clr 2, Divination/Water/Fire/Spirit, , V S M F, 1 minute, Instantaneous, Personal, , , Learns whether an action will be goodsor bad.
Protection from Arrows,Sor/Wiz 2, Abjuration/Earth/Fire, , V S F, 1 standard action, 1 hour/level or until discharged, Touch, Will negates (harmless), Yes (harmless), Subject immune to most ranged attacks.
Flare,Brd 0; Drd 0; Sor/Wiz 0, Evocation/Fire, Light, V, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels), Fortitude negates, Yes, Dazzles one creature (-1 on attack rolls).
Summon Nature's Ally VI,Drd 6, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , , , , , , , Calls creature to fight.
Symbol of Stunning,Clr 7; Sor/Wiz 7, Enchantment/Air/Void/Fire, Mind-Affecting, , , , , Will negates, , Triggered rune stuns nearby creatures.
Shout,Brd 4; Sor/Wiz 4, Evocation/Fire/Air/Earth, Sonic, V, 1 standard action, Instantaneous, 30 ft., Fortitude partial or Reflex negates       (object); see text, Yes  (object), Deafens all within cone and deals 5d6ssonic damage.
Telekinetic Sphere,Sor/Wiz 8, Evocation/Fire/Spirit, Force, V S M, 1 standard action, 1 min./level (D), Close (25 ft. + 5 ft./2 levels), Reflex negates (object), Yes  (object), As resilient sphere; but you movessphere telekinetically.
Summon Nature's Ally VII,Drd 7, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , , , , , , , Calls creature to fight.
Shatter,Blk 2; Brd 2; Chaos 2; Clr 2; Destruction 2; Sor/Wiz 2, Evocation/Fire/Air/Earth, Sonic, V S M/DF, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels), Will negates (object); Will negates       (object) or      Fortitude half; see text, Yes  (object), Sonic vibration damages objects orscrystalline creatures.
Desecrate,Clr 2; Evil 2, Evocation/Fire/Spirit/Void, Evil, V S M DF, 1 standard action, 2 hours/level, Close (25 ft. + 5 ft./2 levels), None, Yes, Fills area with negative energy;smakingsundead stronger.
Shocking Grasp,Sor/Wiz 1, Evocation/Fire/Earth, Electricity, V S, 1 standard action, Instantaneous, Touch, None, Yes, Touch delivers 1d6/level electricitysdamages(max 5d6).
Symbol of Weakness,Clr 7; Sor/Wiz 7, Necromancy/Void/Fire/Earth, , , , , , , , Triggered rune weakens nearby creatures.
Sunburst,Drd 8; Sor/Wiz 8; Sun 8, Evocation/Fire/Void/Spirit, Light, V S M/DF, 1 standard action, Instantaneous, Long (400 ft. + 40 ft./level), Reflex partial; see text, Yes, Blinds all within 10 ft.; deals 6d6 damage.
Spiritual Weapon,Clr 2; War 2, Evocation/Fire/Spirit/Air/Earth/Void, Force, V S DF, 1 standard action, 1 round/level (D), Medium (100 ft. + 10 ft./level), None, Yes, Magical weapon attacks on its own.
Feather Fall,Asn 1; Brd 1; Sor/Wiz 1, Transmutation/Water/Fire/Earth, , V, 1 free action, Until landing or 1 round/level, Close (25 ft. + 5 ft./2 levels), Will negates (harmless) or Will negates (object), Yes (object), Objects or creatures fall slowly.
Lightning Bolt,Adp 3; Sor/Wiz 3, Evocation/Fire/Earth, Electricity, V S M, 1 standard action, Instantaneous, 120 ft., Reflex half, Yes, Electricity deals 1d6/level damage.
Command Undead,Sor/Wiz 2, Necromancy/Void/Fire/Water, , V S M, 1 standard action, One day/level, Close (25 ft. + 5 ft./2 levels), Will negates; see text, Yes, Undead creature obeys your commands.
Acid Splash,Sor/Wiz 0, Conjuration/Fire/Spirit, Acid, V S, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels), None, No, Orb deals 1d3 acid damage.
Imbue with Spell Ability,Clr 4; Magic 4, Evocation/Fire/Earth/Water/Spirit/Air, , V S DF, 10 minutes, Permanent until discharged (D), Touch, Will negates (harmless), Yes (harmless), Transfer spells to subject.
Quench,Drd 3, Transmutation/Fire/Water/Spirit, , V S DF, 1 standard action, Instantaneous, Medium (100 ft. + 10 ft./level), None or Will negates (object), No or Yes (object), Extinguishes nonmagical fires or onesmagic item.
Shrink Item,Sor/Wiz 3, Transmutation/Fire/Water/Spirit, , V S, 1 standard action, One day/level; see text, Touch, Will negates (object), Yes  (object), Object shrinks to one-sixteenth size.
Hide from Animals,Drd 1; Rgr 1, Abjuration/Earth/Fire/Spirit, , S DF, 1 standard action, 10 min./level (D), Touch, Will negates (harmless), Yes, Animals can't perceive one subject/level.
Web,Adp 2; Sor/Wiz 2, Conjuration/Fire/Spirit/Earth, , V S M, 1 standard action, 10 min./level (D), Medium (100 ft. + 10 ft./level), Reflex negates; see text, No, Fills 20-ft.-radius spread with sticky spiderwebs.
Dancing Lights,Brd 0; Sor/Wiz 0, Evocation/Fire, Light, V S, 1 standard action, 1 minute (D), Medium (100 ft. + 10 ft./level), None, No, Creates torches or other lights.
Summon Monster I,Blk 1; Brd 1; Clr 1; Sor/Wiz 1, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , V S F/DF, 1 round, 1 round/level (D), Close (25 ft. + 5 ft./2 levels), None, No, Calls extraplanar creature to fightsfor you.
Control Undead,Sor/Wiz 7, Necromancy/Void/Fire, , V S M, 1 standard action, 1 min./level, Close (25 ft. + 5 ft./2 levels), Will negates, Yes, Undead don't attack you while undersyour command.
Deeper Darkness,Adp 3; Asn 3; Blk 3; Clr 3, Evocation/Fire/Void/Air/Spirit, Darkness, , , One day/level (D), , , , Object sheds supernatural shadow ins60-ft. radius.
Read Magic,Adp 0; Brd 0; Clr 0; Drd 0; Pal 1; Rgr 1; Sor/Wiz 0, Divination/Water/Fire/Earth/Spirit, , V S F, 1 standard action, 10 min./level, Personal, , , Read scrolls and spellbooks.
Divine Favor,Clr 1; Pal 1, Evocation/Fire/Void/Air/Earth, , V S DF, 1 standard action, 1 minute, Personal, , , You gain +1 per three levels on attacksandsdamage rolls.
Eagle's Splendor,Blk 2; Brd 2; Clr 2; Pal 2; Sor/Wiz 2, Transmutation/Water/Fire/Spirit, , V S M/DF, 1 standard action, 1 min./level, Touch, Will negates (harmless), Yes, Subject gains +4 to Cha for 1 min./level.
Inflict Critical Wounds,Blk 4; Clr 4; Destruction 4, Necromancy/Void/Fire, , , , , , , , Touch attack; 4d8 damage +1/level (max +20).
Obscuring Mist,Adp 1; Air 1; Asn 1; Clr 1; Drd 1; Sor/Wiz 1; Water 1, Conjuration/Fire/Water/Spirit, , V S, 1 standard action, 1 min./level, 20 ft., None, No, Fog surrounds you.
Time Stop,Sor/Wiz 9; Trickery 9, Transmutation/Fire/Water/Spirit, , V, 1 standard action, 1d4+1 rounds (apparent time); see text, Personal, , , You act freely for 1d4+1 rounds.
Symbol of Sleep,Clr 5; Sor/Wiz 5, Enchantment/Air/Void/Fire, Mind-Affecting, , , , , Will negates, , Triggered rune puts nearby creaturessintoscatatonic slumber.
Insect Plague,Clr 5; Drd 5, Conjuration/Spirit/Fire, , V S DF, 1 round, 1 min./level, Long (400 ft. + 40 ft./level), None, No, Locust swarms attack creatures.
Order's Wrath,Law 4, Evocation/Fire, Lawful, V S, 1 standard action, Instantaneous (1 round); see text, Medium (100 ft. + 10 ft./level), Will partial; see text, Yes, Damages and dazes chaotic creatures.
Guards and Wards,Sor/Wiz 6, Abjuration/Air/Earth/Fire/Water/Spirit, , V S M F, 30 minutes, 2 hours/level (D), Anywhere within the area to be warded, See text, See text, Array of magic effects protect area.
Planar Binding  Lesser,Sor/Wiz 5, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , V S, 10 minutes, Instantaneous, Close (25 ft. + 5 ft./2 levels); see text, Will negates, No and Yes; see text, Traps extraplanar creature of 6 HD orslesssuntil it performs a task.
Magic Circle against Evil,Clr 3; Good 3; Pal 3; Sor/Wiz 3, Abjuration/Earth/Void/Air/Fire/Water/Spirit, Good, V S M/DF, 1 standard action, 10 min./level, Touch, Will negates (harmless), No; see text, As protection from evil; but 10-ft.sradiussand 10 min./level.
Earthquake,Clr 8; Destruction 8; Drd 8; Earth 7, Evocation/Fire/Earth/Water/Void/Spirit, Earth, V S DF, 1 standard action, 1 round, Long (400 ft. + 40 ft./level), See text, No, Intense tremor shakes 5-ft./level radius.
Cloak of Chaos,Chaos 8; Clr 8, Abjuration/Earth/Void/Air/Fire/Spirit, Chaotic, V S F, 1 standard action, 1 round/level (D), 20 ft., See text, Yes (harmless), +4 to AC; +4 resistance; SR 25 againstslawful spells.
Detect Animals or Plants,Drd 1; Rgr 1, Divination/Water/Air/Earth/Spirit, , V S, 1 standard action, Concentration up to 10 min./level (D), Long (400 ft. + 40 ft./level), None, No, Detects kinds of animals or plants.
Clenched Fist,Sor/Wiz 8; Strength 8, Evocation/Fire/Air/Earth/Water, Force, V S F/DF, , , , , , Large hand provides cover; pushes; orsattacks your foes.
Dispel Magic  Greater,Brd 5; Clr 6; Drd 6; Sor/Wiz 6, Abjuration/Earth/Spirit, , , , , , , , As dispel magic; but +20 on check.
Holy Sword,Pal 4, Evocation/Fire/Void/Earth/Spirit, Good, V S, 1 standard action, 1 round/level, Touch, None, No, Weapon becomes +5; deals +2d6 damagesagainst evil.
Freezing Sphere,Sor/Wiz 6, Evocation/Fire/Water/Air/Earth/Spirit, Cold, V S F, 1 standard action, Instantaneous or 1 round/level; see text, Long (400 ft. + 40 ft./level), Reflex half; see text, Yes, Freezes water or deals cold damage.
Prestidigitation,Brd 0; Sor/Wiz 0, Universal/Air/Fire/Earth/Spirit, , V S, 1 standard action, 1 hour, 10 ft., See text, No, Performs minor tricks.
Move Earth,Drd 6; Sor/Wiz 6, Transmutation/Earth/Water/Spirit, Earth, V S M, See text, Instantaneous, Long (400 ft. + 40 ft./level), None, No, Digs trenches and build hills.
Forbiddance,Clr 6, Abjuration/Earth/Void/Fire/Spirit, , V S M DF, 6 rounds, Permanent, Medium (100 ft. + 10 ft./level), See text, Yes, Blocks planar travel; damagesscreatures ofsdifferent alignment.
Flame Blade,Drd 2, Evocation/Fire/Water/Earth, Fire, V S DF, 1 standard action, 1 min./level (D), 0 ft., None, Yes, Touch attack deals 1d8 +1/two levels damage.
Undetectable Alignment,Asn 2; Brd 1; Clr 2; Pal 2, Abjuration/Earth/Water, , V S, 1 standard action, 24 hours, Close (25 ft. + 5 ft./2 levels), Will negates (object), Yes  (object), Conceals alignment for 24 hours.
Bless Weapon,Pal 1, Transmutation/Water/Void/Earth/Spirit, , V S, 1 standard action, 1 min./level, Touch, None, No, Weapon strikes true against evil foes.
Unhallow,Clr 5; Drd 5, Evocation/Fire/Void/Air/Earth/Spirit, Evil, V S M, 24 hours, Instantaneous, Touch, See text, See text, Designates location as unholy.
Disrupting Weapon,Clr 5, Transmutation/Water/Fire/Earth, , V S, 1 standard action, 1 round/level, Touch, Will negates (harmless object); see text, Yes (harmless object), Melee weapon destroys undead.
Dimensional Anchor,Clr 4; Sor/Wiz 4, Abjuration/Earth/Void/Air, , V S, 1 standard action, 1 min./level, Medium (100 ft. + 10 ft./level), None, Yes  (object), Bars extradimensional movement.
Resist Energy,Adp 2; Clr 2; Drd 2; Fire 3; Pal 2; Rgr 1; Sor/Wiz 2, Abjuration/Fire/Earth/Air, , V S DF, 1 standard action, 10 min./level, Touch, Fortitude negates (harmless), Yes (harmless), Ignores first 10 (or more) points ofsdamage/attack from specified energy type.
Illusory Script,Asn 2; Brd 3; Sor/Wiz 3, Illusion/Air/Earth/Spirit, Mind-Affecting, V S M, 1 minute or longer; see text, One day/level (D), Touch, Will negates; see text, Yes, Only intended reader can decipher.
Transport via Plants,Drd 6, Transmutation/Water/Void/Fire/Earth, , V S, 1 standard action, 1 round, Unlimited, None, No, Move instantly from one plant tosanother ofsthe same kind.
Wall of Stone,Adp 5; Clr 5; Drd 6; Earth 5; Sor/Wiz 5, Conjuration/Spirit/Void/Air/Earth, Earth, V S M/DF, 1 standard action, Instantaneous, Medium (100 ft. + 10 ft./level), See text, No, Creates a stone wall that can be shaped.
Secret Chest,Sor/Wiz 5, Conjuration/Earth/Water/Spirit/Air/Fire, , V S F, 10 minutes, Sixty days or until discharged, See text, None, No, Hides expensive chest on EtherealsPlane; yousretrieve it at will.
Shadow Conjuration,Brd 4; Sor/Wiz 4, Illusion/Air/Spirit/Earth, , V S, 1 standard action, See text, See text, Will disbelief (if interacted with);       varies; see text, Yes; see text, Mimics conjuration below 4th level;sbut onlys20% real.
Storm of Vengeance,Drd 9; Clr 9, Conjuration/Spirit/Fire/Earth/Water, , V S, 1 round, Concentration (maximum 10 rounds) (D), Long (400 ft. + 40 ft./level), See text, Yes, Storm rains acid; lightning; and hail.
Death Knell,Blk 2; Clr 2; Death 2, Necromancy/Void/Earth/Spirit, Death; Evil, V S, 1 standard action, Instantaneous/10 minutes per HD of subject; see text, Touch, Will negates, Yes, Kill dying creature and gain 1d8stemporaryshp; +2 to Str; and +1 caster level.
Pyrotechnics,Brd 2; Sor/Wiz 2, Transmutation/Fire/Water/Air/Earth, , V S M, 1 standard action, 1d4+1 rounds or 1d4+1 rounds after creatures       leave
      the smoke cloud; see text, Long (400 ft. + 40 ft./level), Will negates or Fortitude negates; see text, Yes or No; see text, Turns fire into blinding light orschoking smoke.
Dimensional Lock,Clr 8; Sor/Wiz 8, Abjuration/Earth/Void/Air, , V S, 1 standard action, One day/level, Medium (100 ft. + 10 ft./level), None, Yes, Teleportation and interplanar travelsblockedsfor one day/level.
Secure Shelter,Brd 4; Sor/Wiz 4, Conjuration/Fire/Spirit/Earth/Water, , V S M F; see text, 10 minutes, 2 hours/level (D), Close (25 ft. + 5 ft./2 levels), None, No, Creates sturdy cottage.
Freedom,Sor/Wiz 9, Abjuration/Earth/Spirit, , V S, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels) or see text, Will negates (harmless), Yes, Releases creature from imprisonment.
Magic Stone,Clr 1; Drd 1; Earth 1, Transmutation/Water/Earth, , V S DF, 1 standard action, 30 minutes or until discharged, Touch, Will negates (harmless object), Yes (harmless object), Three stones gain +1 on attack rolls;sdeals1d6+1 damage.
Protection from Chaos,Adp 1; Clr 1; Law 1; Pal 1; Sor/Wiz 1, Abjuration/Earth/Void, Lawful, , , , , , , +2 to AC and saves; counter mindscontrol;shedge out elementals and outsiders.
Transmute Mud to Rock,Drd 5; Sor/Wiz 5, Transmutation/Water/Earth/Spirit, Earth, V S M/DF, 1 standard action, Permanent, Medium (100 ft. + 10 ft./level), See text, No, Transforms two 10-ft. cubes per level.
Weird,Sor/Wiz 9, Illusion/Air/Earth, Fear; Mind-Affecting, , , , , , , As phantasmal killer; but affects allswithins30 ft.
Fire Trap,Drd 2; Sor/Wiz 4, Abjuration/Fire/Earth/Water/Spirit, Fire, V S M, 10 minutes, Permanent until discharged (D), Touch, Reflex half; see text, Yes, Opened object deals 1d4 damage +1/level.
Contagion,Adp 3; Blk 3; Clr 3; Destruction 3; Drd 3; Sor/Wiz 4, Necromancy/Fire/Void/Earth, Evil, V S, 1 standard action, Instantaneous, Touch, Fortitude negates, Yes, Infects subject with chosen disease.
Magic Fang,Drd 1; Rgr 1, Transmutation/Water/Earth, , V S DF, 1 standard action, 1 min./level, Touch, Will negates (harmless), Yes (harmless), One natural weapon of subject creaturesgetss+1 on attack and damage rolls.
Gate,Clr 9; Sor/Wiz 9, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , V S XP; see text, 1 standard action, Instantaneous or concentration (up to 1
      round/level); see text, Medium (100 ft. + 10 ft./level), None, No, Connects two planes for travel or summoning.
Righteous Might,Clr 5; Strength 5, Transmutation/Fire/Water/Void/Earth/Spirit, , V S DF, 1 standard action, 1 round/level (D), Personal, , , Your size increases; and you gainscombat bonuses.
Changestaff,Drd 7, Transmutation/Water/Earth/Spirit, , V S F, 1 round, 1 hour/level (D), Touch, None, No, Your staff becomes a treant on command.
Forceful Hand,Sor/Wiz 6, Evocation/Fire/Earth, Force, V S F, , , , , , Hand pushes creatures away.
Spike Growth,Drd 3; Rgr 2, Transmutation/Earth/Water/Spirit, , V S DF, 1 standard action, 1 hour/level (D), Medium (100 ft. + 10 ft./level), Reflex partial, Yes, Creatures in area take 1d4 damage; maysbe slowed.
Make Whole,Clr 2, Transmutation/Earth/Water/Air/Fire, , , 1 standard action, , Close (25 ft. + 5 ft./2 levels), , , Repairs an object.
Ice Storm,Drd 4; Sor/Wiz 4; Water 5, Evocation/Fire/Earth, Cold, V S M/DF, 1 standard action, 1 full round, Long (400 ft. + 40 ft./level), None, Yes, Hail deals 5d6 damage in cylinder 40sft. across.
Hold Portal,Sor/Wiz 1, Abjuration/Earth/Air/Water/Spirit, , V, 1 standard action, 1 min./level (D), Medium (100 ft. + 10 ft./level), None, No, Holds door shut.
Animate Rope,Brd 1; Sor/Wiz 1, Transmutation/Water/Fire/Earth, , V S, 1 standard action, 1 round/level, Medium (100 ft. + 10 ft./level), None, No, Makes a rope move at your command.
Telekinesis,Sor/Wiz 5, Transmutation/Water/Air/Fire/Earth/Spirit, , V S, 1 standard action, Concentration (up to 1 round/ level) or
      instantaneous; see text, Long (400 ft. + 40 ft./level), Will negates (object) or None; see text, Yes  (object); see text, Moves object; attacks creature; orshurlssobject or creature.
Phase Door,Sor/Wiz 7; Travel 8, Conjuration/Spirit/Air/Earth, , V, 1 standard action, One usage per two levels, 0 ft., None, No, Creates an invisible passage throughswood or stone.
